Filename	Kingdom_SSV	Kingdom_PPV	Phylum_SSV	Phylum_PPV	Class_SSV	Class_PPV	Order_SSV	Order_PPV	Family_SSV	Family_PPV	Genus_SSV	Genus_PPV	Species_SSV	Species_PPV	Kingdom_Dist	Phylum_Dist	Class_Dist	Order_Dist	Family_Dist	Genus_Dist	Species_Dist	Kingdom_TP	Phylum_TP	Class_TP	Order_TP	Family_TP	Genus_TP	Species_TP	Kingdom_FP	Phylum_FP	Class_FP	Order_FP	Family_FP	Genus_FP	Species_FP	Kingdom_FN	Phylum_FN	Class_FN	Order_FN	Family_FN	Genus_FN	Species_FN	Kingdom_TN	Phylum_TN	Class_TN	Order_TN	Family_TN	Genus_TN	Species_TN	Kingdom_F1	Phylum_F1	Class_F1	Order_F1	Family_F1	Genus_F1	Species_F1
001.comp	0	0	0	0	0	0	0	0	0	0	0.894736842	0.918918919	0	0	1.414213562	1.414213562	1.414213562	1.414213562	1.414213562	0.13287014	1.414213562	0	0	0	0	0	34	0	1	1	1	1	1	3	1	1	6	12	17	24	4	53	0	0	0	0	0	0	0	0	0	0	0	0	0.906666667	0
002.comp	0	0	0	0	0	0	0	0	0	0	0.880952381	1	0	0	1.414213562	1.414213562	1.414213562	1.414213562	1.414213562	0.119047619	1.414213562	0	0	0	0	0	37	0	1	1	1	1	1	0	1	1	7	13	20	28	5	61	0	0	0	0	0	0	0	0	0	0	0	0	0.936708861	0
003.comp	0	0	0	0	0	0	0	0	0	0	0.875	0.933333333	0	0	1.414213562	1.414213562	1.414213562	1.414213562	1.414213562	0.141666667	1.414213562	0	0	0	0	0	14	0	1	1	1	1	1	1	1	1	6	9	11	14	2	18	0	0	0	0	0	0	0	0	0	0	0	0	0.903225806	0
004.comp	0	0	0	0	0	0	0	0	0	0	0.857142857	0.857142857	0	0	1.414213562	1.414213562	1.414213562	1.414213562	1.414213562	0.202030509	1.414213562	0	0	0	0	0	12	0	1	1	1	1	1	2	1	1	5	8	12	13	2	15	0	0	0	0	0	0	0	0	0	0	0	0	0.857142857	0
011.comp	0	0	0	0	0	0	0	0	0	0	0.896551724	0.962962963	0	0	1.414213562	1.414213562	1.414213562	1.414213562	1.414213562	0.109878514	1.414213562	0	0	0	0	0	26	0	1	1	1	1	1	1	1	1	6	11	17	25	3	35	0	0	0	0	0	0	0	0	0	0	0	0	0.928571429	0
012.comp	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1.414213562	1.414213562	1.414213562	1.414213562	1.414213562	0	1.414213562	0	0	0	0	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
014.comp	0	0	0	0	0	0	0	0	0	0	0.857142857	1	0	0	1.414213562	1.414213562	1.414213562	1.414213562	1.414213562	0.142857143	1.414213562	0	0	0	0	0	18	0	1	1	1	1	1	0	1	1	7	13	14	16	3	22	0	0	0	0	0	0	0	0	0	0	0	0	0.923076923	0
015.comp	0	0	0	0	0	0	0	0	0	0	0.941176471	1	0	0	1.414213562	1.414213562	1.414213562	1.414213562	1.414213562	0.058823529	1.414213562	0	0	0	0	0	32	0	1	1	1	1	1	0	1	1	7	13	20	25	2	44	0	0	0	0	0	0	0	0	0	0	0	0	0.96969697	0
022.comp	0	0	0	0	0	0	0	0	0	0	0.8	0.8	0	0	1.414213562	1.414213562	1.414213562	1.414213562	1.414213562	0.282842712	1.414213562	0	0	0	0	0	4	0	1	1	1	1	1	1	1	1	4	4	5	5	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0.8	0
024.comp	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1.414213562	1.414213562	1.414213562	1.414213562	1.414213562	0	1.414213562	0	0	0	0	0	5	0	1	1	1	1	1	0	1	1	3	4	5	5	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0
025.comp	0	0	0	0	0	0	0	0	0	0	0.941176471	0.941176471	0	0	1.414213562	1.414213562	1.414213562	1.414213562	1.414213562	0.083189033	1.414213562	0	0	0	0	0	32	0	1	1	1	1	1	2	1	1	6	11	17	25	2	44	0	0	0	0	0	0	0	0	0	0	0	0	0.941176471	0
